1	0.6	0.01	50	0.5
2	0.7	0.01	50	0.5
3	0.8	0.01	50	0.5
4	0.6	0.05	50	0.7
5	0.7	0.05	50	0.7
6	0.8	0.05	50	0.7
7	0.6	0.10	50	0.9
8	0.7	0.10	50	0.9
9	0.8	0.10	50	0.9
10	0.6	0.01	100	0.5
11	0.7	0.01	100	0.5
12	0.8	0.01	100	0.5
13	0.6	0.05	100	0.7
14	0.7	0.05	100	0.7
15	0.8	0.05	100	0.7
16	0.6	0.10	100	0.9
17	0.7	0.10	100	0.9
18	0.8	0.10	100	0.9
19	0.6	0.01	200	0.5
20	0.7	0.01	200	0.5
21	0.8	0.01	200	0.5
22	0.6	0.05	200	0.7
23	0.7	0.05	200	0.7
24	0.8	0.05	200	0.7
25	0.6	0.10	200	0.9
26	0.7	0.10	200	0.9
27	0.8	0.10	200	0.9
28	0.8	0.10	200	0.9
